Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next,,,,
0,8,1,4,1,에고고... 누구라고?,에고고... 누구라고?,-1,-1,1,,,,
1,8,1,4,1,아이고! 레딘이구나!,아이고! 레딘이었구나!,-1,-1,2,,,,
2,8,1,4,1,벌써 마을로 돌아온 거니~?,어서 오렴~,-1,-1,-1,,,,
3,8,1,4,2,가끔 할미랑 밥 먹자꾸나.,호호호. 가끔 할미랑 밥 먹자꾸나!,-1,-1,-1,,,,
4,8,1,4,3,지금은 산책 중이란다.,지금은 산책 중이란다~,-1,-1,-1,,,,
5,8,1,4,4,아이고! 마왕님이 오신다더구나!,아이고! 마왕님이 오신다더구나!,-1,-1,-1,,,,
6,8,1,4,5,내 평생 처음이구먼!,내 평생 처음이구먼! 호호호.,-1,-1,-1,,,,
7,8,1,4,6,어제 잠도 못 잤어…,어제 잠도 못 잤어!,-1,-1,-1,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,,,,,,,,,,
59,,,,,,,,,,,,,
