Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next,,,,
0,9,1,4,1,안녕하세요! 처음 뵙겠습니다.,안녕하세요! 처음 뵙겠습니다!,-1,-1,1,,,,
1,9,1,4,1,전 해리 님의 기사 울버입니다.,전 해리 님의 기사 울버입니다!,-1,-1,-1,,,,
2,9,1,4,2,해리님과 잘 지내주세요. 부탁드립니다.,앞으로 잘 부탁드리겠습니다!,-1,-1,-1,,,,
3,9,1,4,3,전 해리님을 지켜야 합니다.,전 해리님을 지켜야 합니다!,-1,-1,-1,,,,
4,9,1,4,4,오늘 마왕님께서 오신다는 소식에 마을이 시끄럽네요.,마왕님께서 오신다는 소식에 마을이 시끌벅적하네요!,-1,-1,-1,,,,
5,9,1,4,5,더욱 해리님을 잘 지켜야겠습니다.,더욱 해리님을 잘 지켜야겠어요!,-1,-1,-1,,,,
6,9,1,4,6,이만 해리님께 가보겠습니다.,이만 해리님께 가보겠습니다!,-1,-1,-1,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,,,,,,,,,,
59,,,,,,,,,,,,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,,,,,,,,,,,,,
63,,,,,,,,,,,,,
64,,,,,,,,,,,,,
65,,,,,,,,,,,,,
66,,,,,,,,,,,,,
67,,,,,,,,,,,,,
68,,,,,,,,,,,,,
69,,,,,,,,,,,,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,,,,,,,,,,,,,
74,,,,,,,,,,,,,
75,,,,,,,,,,,,,
76,,,,,,,,,,,,,
77,,,,,,,,,,,,,
78,,,,,,,,,,,,,
79,,,,,,,,,,,,,
80,,,,,,,,,,,,,
81,,,,,,,,,,,,,
82,,,,,,,,,,,,,
83,,,,,,,,,,,,,
84,,,,,,,,,,,,,
85,,,,,,,,,,,,,
86,,,,,,,,,,,,,
87,,,,,,,,,,,,,
88,,,,,,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,,,,
91,,,,,,,,,,,,,
92,,,,,,,,,,,,,
