Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next1,Text_Next2,Event_ID_1,Event_ID_2
0,2,1,3,1,어이. 레딘!,레딘. 좋은 오후군,-1,-1,1,-1,-1,-1
1,2,1,4,1,어젯밤은 잘 보냈나?,지금까지 푹 쉬었나 보군.,-1,-1,2,-1,-1,-1
2,2,1,4,1,앞으로 마을에서 잘 지냈으면 좋겠군.,모든 주민들과 인사는 다 나눠봤나?,-1,-1,3,-1,-1,-1
3,2,1,4,1,부탁 있으면 말하시게나.,부탁이 있으면 언제든지 말하게 이 몸도 장사를 하지만 이 시간에는 쉰다네.,-1,-1,-1,-1,-1,-1
4,2,1,4,2,나는 게시판 앞 가판대에서 장사한다네.,나는 게시판 앞 가판대에서 아침 8시부터 저녁 7시까지 장사를 한다네.,-1,-1,5,-1,-1,-1
5,2,1,4,2,자주 와서 사주시게나.,자주 와서 사주시게나~ 내가 품질 좋은 것들로만 선별하네!,-1,-1,-1,-1,-1,-1
6,2,2,4,3,더 용건이 있나?,나와 더 할 이야기가 있는 건가?,있습니다.,없습니다.,7,8,-1,-1
7,2,1,4,3,미안하네. 다음에 이야기해도 되겠나?,미안하네. 다음에 이야기하면 좋겠군. 지금은 시간이 늦어서.,-1,-1,-1,-1,-1,-1
8,2,1,3,3,그래. 하루 잘 보내시게나.,그래. 오늘 하루 마무리 잘하고 내일 봅세.,-1,-1,-1,-1,-1,-1
9,2,2,3,4,레딘 왔나?,레딘 왔군! 마을이 소란스럽지 않나?,무슨 소식 있나요?,-1,10,-1,-1,-1
10,2,1,4,4,소식? 중요한 손님이 온다더군.,그래. 마왕님께서 금일에 마을방문을 하실 예정이라고 모두 말하더구나!,-1,-1,11,-1,-1,-1
11,2,1,4,4,게시판을 확인해 봐라!,게시판에 가보면 자세히 확인할 수 있을 거다.,-1,-1,-1,-1,-1,-1
12,2,1,4,5,게시판은 확인했나?,참. 별일이야. 마왕님이 우리 마을을 방문하다니 신기하군!,-1,-1,13,-1,-1,-1
13,2,1,4,5,마왕님이 우리 마을을 방문하다니 별일이군.,그나저나 조금 늦으시는 것 같군.,-1,-1,14,-1,-1,-1
14,2,1,4,5,마을이 참 소란스러워졌어.,밤이 깊어지면 마을 주변에는 무척이나 위험해지니 걱정이 되는군.,-1,-1,-1,-1,-1,-1
15,2,2,4,6,더 이야기하자고? 다음에 하면 안 되나?,하지만 마왕님이니 큰 걱정할 필요는 없지… 볼일이 있는데 이만 자리를 옮겨도 되겠나?,안돼요.,알겠습니다.,16,17,-1,-1
16,2,1,4,6,참. 곤란하군.,참. 곤란하군! 다음에 집에 초대할 테니 이번엔 넘어가시게~,-1,-1,-1,-1,-1,-1
17,2,1,3,6,그럼 다음에 또 보시게나.,그럼 가게도 많이 와주시게나!,-1,-1,-1,-1,-1,-1
