ConditionTime,AiParameter1,AiParameter2
0:00,3,23
0:10,3,23
0:20,3,23
0:30,3,23
0:40,3,23
0:50,3,23
1:00,3,23
1:10,3,23
1:20,3,23
1:30,3,23
1:40,3,23
1:50,3,23
2:00,3,23
2:10,3,23
2:20,3,23
2:30,3,23
2:40,3,23
2:50,3,23
3:00,3,23
3:10,3,23
3:20,3,23
3:30,3,23
3:40,3,23
3:50,3,23
4:00,3,23
4:10,3,23
4:20,3,23
4:30,3,23
4:40,3,23
4:50,3,23
5:00,3,23
5:10,3,23
5:20,3,23
5:30,3,23
5:40,3,23
5:50,3,23
6:00,3,23
6:10,3,23
6:20,3,23
6:30,3,23
6:40,3,23
6:50,3,23
7:00,3,23
7:10,3,23
7:20,3,23
7:30,3,23
7:40,3,23
7:50,3,23
8:00,3,23
8:10,3,23
8:20,3,23
8:30,3,23
8:40,3,23
8:50,3,23
9:00,3,23
18:00,3,23
18:10,3,23
18:20,3,23
18:30,3,23
18:40,3,23
18:50,3,23
19:00,3,23
19:10,3,23
19:20,3,23
19:30,3,23
19:40,3,23
19:50,3,23
20:00,3,23
20:10,3,23
20:20,3,23
20:30,3,23
20:40,3,23
20:50,3,23
21:00,3,23
21:10,3,23
21:20,3,23
21:30,3,23
21:40,3,23
21:50,3,23
22:00,3,23
22:10,3,23
22:20,3,23
22:30,3,23
22:40,3,23
22:50,3,23
23:00,3,23
23:10,3,23
23:20,3,23
23:30,3,23
23:40,3,23
23:50,3,23
