Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next1,Text_Next2,Event_ID
0,3,3,3,1,"레딘 형, 안녕하세요.","레딘 형, 안녕하세요!",-1,-1,1,-1,-1
1,3,4,4,1,어제 마을 주민분들과는 인사해 보셨나요?,다른 주민분들도 형이 돌아왔다고 좋아하시던데 인사해 보셨나요?,아직 다 못 만나봤어요.,-1,2,-1,-1
2,3,3,4,1,그런가요? 형이 돌아왔다는 소식은 모두에게 전해졌을 거예요.,그런가요? 다들 형을 기다리고 계세요!,-1,-1,3,-1,-1
3,3,3,4,1,그러니 모두에게 인사를 해보시는 건 어떨까요?,그러니 모두에게 인사를 해보시면 좋을 거 같아요!,-1,-1,4,-1,-1
4,3,3,4,1,같은 마을 주민이니 인사 나누고 다 같이 친하게 지내면 좋을 거 같아서요.,같은 마을 주민들끼리 다 같이 친하게 지낼 수 있다면 정말 기쁠 거 같아요.,-1,-1,5,-1,-1
5,3,4,4,1,아! 물론 강요는 아니에요. 어떠신가요?,아! 물론 강요는 아니에요… 선택은 레딘형이 하면 돼요!,알겠습니다. 해볼게요.,아직은 여유가 없어 힘들 것 같습니다.,6,7,-1
6,3,3,3,1,좋아요! 다들 반겨주실 거예요. 응원할게요.,좋아요! 다들 형이 인사해 주면 기뻐하실 거예요. 응원할게요!,-1,-1,-1,-1,3
7,3,3,3,1,그렇군요… 나중이라도 인사해 보시길 바랄게요.,아직 많이 바쁘신가 보네요… 어쩔 수 없죠. 나중이라도 해보세요!,-1,-1,-1,-1,-1
8,3,3,4,1,모두와 인사해 보셨나요?,벌써 모두와 인사하신 건가요?,-1,-1,-1,-1,-1
9,3,1,4,1,어릴 적엔 형과 자주 놀았었는데…,형도 제가 어색하시죠…?,-1,-1,10,-1,-1
10,3,1,4,1,오랜만이라 그런지 아직 어색하네요.,어릴 적엔 자주 놀아서 친했었는데 오랜만이라 그런지 어색하네요.,-1,-1,11,-1,-1
11,3,1,4,1,다시 친하게 지내고 싶어요!,우리 앞으로 다시 친해졌으면 좋겠어요!,-1,-1,-1,-1,-1
12,3,1,4,2,어젯밤엔 잘 주무셨나요?,마을에서 첫날밤이라 힘드셨을 텐데 어젯밤은 잘 주무셨나요?,-1,-1,13,-1,-1
13,3,1,4,2,아직 마을 적응이 힘드시죠?,마을 적응하시는데 제가 도울 일 있으면 말씀해 주세요!,-1,-1,14,-1,-1
14,3,1,4,2,제가 도울 일 있으면 말씀해 주세요!,전 언제든지 도와드릴 수 있습니다!,-1,-1,-1,-1,-1
15,3,2,4,3,더 하실 말씀 있으신가요?,저와 더 이야기하실 건가요?,네.,아니요.,16,17,-1
16,3,1,4,3,죄송해요. 이제 아버지께 가봐야 될 거 같아요.,죄송해요! 아버지가 부르셔서 가봐야 될 거 같아요…,-1,-1,-1,-1,-1
17,3,1,3,3,그럼 좋은 하루 보내시고 다음에 또 봬요.,그럼 오늘도 좋은 하루 보내시고 다음에 또 봬요!,-1,-1,-1,-1,-1
18,3,1,3,4,안녕하세요!,"레딘 형, 안녕하세요!",-1,-1,19,-1,-1
19,3,2,4,4,"아, 아버지께서 말씀해 주셨는데 마왕님이 방문하신대요.",마왕님께서 방문하신대요! 정말 기대되지 않아요?,무슨 소식 있나요?,-1,20,-1,-1
20,3,1,4,4,저는 한 번도 뵌 적이 없어서 긴장되네요…,전 한 번도 뵌 적이 없어서 긴장되지만 기대돼요!,-1,-1,-1,-1,-1
21,3,2,4,5,레딘 형은 마왕님 뵌 적 있으세요?,레딘 형은 마왕님 뵌 적 있으세요? 있을 거 같아요!,없어요.,-1,22,-1,-1
22,3,1,4,5,"헉, 형도 긴장되겠네요…","헉, 그렇구나. 형도 긴장되겠네요! ",-1,-1,-1,-1,-1
23,3,1,3,6,곧 일가야 해서 다음에 놀아요!,더 놀고 싶은데 곧 일 가야 해요… 다음에 또 놀아요!,-1,-1,-1,-1,-1
24,3,5,3,2,퀘스트 완료,퀘스트 완료,-1,-1,-1,-1,4
