ConditionTime,AiParameter1,AiParameter2
0:00,3,24
0:10,3,24
0:20,3,24
0:30,3,24
0:40,3,24
0:50,3,24
1:00,3,24
1:10,3,24
1:20,3,24
1:30,3,24
1:40,3,24
1:50,3,24
2:00,3,24
2:10,3,24
2:20,3,24
2:30,3,24
2:40,3,24
2:50,3,24
3:00,3,24
3:10,3,24
3:20,3,24
3:30,3,24
3:40,3,24
3:50,3,24
4:00,3,24
4:10,3,24
4:20,3,24
4:30,3,24
4:40,3,24
4:50,3,24
5:00,3,24
5:10,3,24
5:20,3,24
5:30,3,24
5:40,3,24
5:50,3,24
6:00,3,24
6:10,3,24
6:20,3,24
6:30,3,24
6:40,3,24
6:50,3,24
7:00,3,24
7:10,3,24
7:20,3,24
7:30,3,24
7:40,3,24
7:50,4,24
8:00,4,28
8:10,3,28
8:20,3,28
8:30,3,28
8:40,3,28
8:50,3,28
9:00,4,28
18:00,4,5
18:10,4,5
18:20,4,5
18:30,4,5
18:40,4,5
18:50,4,5
19:00,4,6
19:10,1,6
19:20,1,6
19:30,1,6
19:40,1,6
19:50,1,6
20:00,1,6
20:10,1,6
20:20,1,6
20:30,1,6
20:40,1,6
20:50,1,6
21:00,1,6
21:10,1,6
21:20,4,6
21:30,4,24
21:40,4,24
21:50,4,24
22:00,4,24
22:10,4,24
22:20,4,24
22:30,3,24
22:40,3,24
22:50,3,24
23:00,3,24
23:10,3,24
23:20,3,24
23:30,3,24
23:40,3,24
23:50,3,24
