Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next1,Text_Next2
0,7,1,4,1,웬 세공사가 마을에 왔다더니…,마을에 세공사가 왔다고 들었는데 레딘이었구나!,-1,-1,1,-1
1,7,1,4,1,레딘이었구나!,반갑구나. 다시 마을에 온 것을 환영한다.,-1,-1,2,-1
2,7,1,3,1,다시 마을에 온 것을 환영한단다.,도울 일 있으면 말하거라. 목공 쪽은 뭐든 가능하단다!,-1,-1,3,-1
3,7,1,4,1,다시 잘 지내보자꾸나.,얼른 마을에 적응해서 다시 잘 지냈으면 좋겠구나.,-1,-1,-1,-1
4,7,1,4,2,저기 큰 공방 보이지?,저기 큰 공방이 내 집이란다. 아들 도칸과 살고 있어.,-1,-1,5,-1
5,7,1,4,2,저기가 내 집이란다. 아들 도칸과 살고 있어.,자주 놀러 오거라! 아들에게 세공도 가르쳐 주면 더 좋고…,-1,-1,6,-1
6,7,1,4,2,다음에 놀러 오렴.,하하하! 방금 한 말은 장난일세!,-1,-1,-1,-1
7,7,2,4,3,응? 지금 놀러 오겠다고?,집에 꼭 놀러 오겠다고?,네.,아니요.,7,8
8,7,1,4,3,어쩌지. 집 청소가 안 되어있어 어려울 거 같구나.,그래. 나중에 정식으로 초대하겠네!,-1,-1,-1,-1
9,7,1,3,3,그래. 다음에 꼭 놀러 오렴.,그래도 초대할 테니 한 번 놀러 오렴!,-1,-1,-1,-1
10,7,2,3,4,그래. 반갑구나.,"안녕 레딘, 오늘도 반갑구나!",무슨 소식 있나요?,-1,11,-1
11,7,1,4,4,게시판은 확인해 봤니?,무슨 소식일 거 같나~? ,-1,-1,12,-1
12,7,1,4,4, 마왕님이 방문하신다더구나.,하하하! 마왕님이 마을에 방문하신단다!,-1,-1,13,-1
13,7,1,4,4,다른 마을에서 공방 운영할 때 뵌 적이 있는데…,다른 마을에서 공방 운영할 때 여러 번 뵙었거든.,-1,-1,14,-1
14,7,1,4,4,오래되어서 잘 기억이 안 나는구나.,거의 10년 전이라 지금은 기억이 가물가물하네…,-1,-1,-1,-1
15,7,1,4,5,아들은 한 번도 마왕님을 뵌 적이 없어.,지금 우리 아들은 마왕님 뵌다고 아주 신났어!,-1,-1,16,-1
16,7,1,4,5,그래서 그런지 지금 기대가 가득하단다.,신난 아들의 모습을 보니 귀엽더구나. 하하!,-1,-1,-1,-1
17,7,1,4,6,이제 슬슬 일하러 가야겠구나.,"어이쿠, 벌써 시간이! 이제 일하러 가야겠네…",-1,-1,-1,-1
