ConditionTime,AiParameter1,AiParameter2
0:00,3,24
0:10,3,24
0:20,3,24
0:30,3,24
0:40,3,24
0:50,3,24
1:00,3,24
1:10,3,24
1:20,3,24
1:30,3,24
1:40,3,24
1:50,3,24
2:00,3,24
2:10,3,24
2:20,3,24
2:30,3,24
2:40,3,24
2:50,3,24
3:00,3,24
3:10,3,24
3:20,3,24
3:30,3,24
3:40,3,24
3:50,3,24
4:00,3,24
4:10,3,24
4:20,3,24
4:30,3,24
4:40,3,24
4:50,3,24
5:00,3,24
5:10,3,24
5:20,3,24
5:30,3,24
5:40,3,24
5:50,3,24
6:00,3,24
6:10,3,24
6:20,3,24
6:30,4,24
6:40,4,11
6:50,1,11
7:00,4,11
7:10,4,4
7:20,4,4
7:30,4,4
7:40,4,4
7:50,4,11
8:00,1,11
8:10,1,11
8:20,1,11
8:30,1,11
8:40,1,11
8:50,1,11
9:00,1,11
