Text_ID,Character_ID,Text_Type,Animation_ID,Text_Formal,Text_Script_1,Text_Script_2,Text_Select1,Text_Select2,Text_Next1,Text_Next2
0,3,1,3,1,안녕. 레딘,안녕. 잘 잤니?,-1,-1,1,-1
1,3,1,4,1,마을 적응은 잘했니?,마을 적응은 어때? 잘하고 있니?,-1,-1,2,-1
2,3,1,4,1,도울 일 있으면 언제든지 말하렴.,내가 도울 일 있으면 꼭 말하렴!,-1,-1,3,-1
3,3,1,3,1,그럼 좋은 하루 보내.,그럼 좋은 하루 보내!,-1,-1,-1,-1
4,3,1,4,2,아침부터 저녁까지 장사를 한단다.,아침 8시부터 저녁 8시까지 장사를 한단다.,-1,-1,-1,-1
5,3,1,4,2,자주 와주렴.,액세서리를 팔고 있으니 자주 와주렴~,-1,-1,-1,-1
6,3,2,4,3,더 궁금한 게 있니?,어머. 더 궁금한 게 있는 거니?,있습니다.,없습니다.,7,8
7,3,1,4,3,다음에 대답해 줄게.,다음에 날 잡아 티타임을 가지는 게 좋겠어!,-1,-1,-1,-1
8,3,1,3,3,그럼 나중에 또 보자꾸나.,그럼 나중에 또 보자. 잘 가렴~,-1,-1,-1,-1
9,3,2,3,4,안녕. 레딘,안녕! 오늘 아침은 어떠니?,무슨 소식 있나요?,-1,10,-1
10,3,1,4,4,마왕님께서 우리 마을에 방문하신다더구나.,소식? 아! 마왕님께서 우리 마을에 방문하신단다!,-1,-1,11,-1
11,3,1,4,4,전속 세공사를 그만둔 이후로 마왕님을 뵙는 건 오랜만인데,전에 네 할아버지와 마왕 전속 세공사였다고 말했었지?,-1,-1,12,-1
12,3,1,4,4,참 기대가 되네.,그 이후로 오랜만에 뵙는 건데 건강하실지 걱정되네~,-1,-1,-1,-1
13,3,1,4,5,꼭 만나 뵐 수 있으면 좋겠어.,뵙게 되면 티타임을 가지고 싶구나.,-1,-1,14,-1
14,3,1,4,5,일을 그만둔 이후로 찾아뵙지 못했었거든.,마왕님과 이야기하고 싶은 게 참 많단다~,-1,-1,-1,-1
15,3,2,4,6,더 이야기할 게 있니?,어머. 더 이야기할 게 있는 거니?,있습니다.,없습니다.,16,17
16,3,1,4,6,미안. 이제 준비해야 돼서 안될 거 같아.,미안해. 이제 마왕님을 뵐 준비를 해야 될 거 같아!,-1,-1,-1,-1
17,3,1,3,6,그래. 좋은 하루가 되었으면 좋겠구나.,그래. 좋은 하루 보내렴!,-1,-1,-1,-1
