ConditionTime,AiParameter1,AiParameter2
0:00,3,17
0:10,3,17
0:20,3,17
0:30,3,17
0:40,3,17
0:50,3,17
1:00,3,17
1:10,3,17
1:20,3,17
1:30,3,17
1:40,3,17
1:50,3,17
2:00,3,17
2:10,3,17
2:20,3,17
2:30,3,17
2:40,3,17
2:50,3,17
3:00,3,17
3:10,3,17
3:20,3,17
3:30,3,17
3:40,3,17
3:50,3,17
4:00,3,17
4:10,3,17
4:20,3,17
4:30,3,17
4:40,3,17
4:50,3,17
5:00,3,17
5:10,3,17
5:20,3,17
5:30,3,17
5:40,3,17
5:50,3,17
6:00,3,17
6:10,3,17
6:20,3,17
6:30,4,17
6:40,4,6
6:50,1,6
7:00,1,6
7:10,1,6
7:20,1,6
7:30,1,6
7:40,4,6
7:50,4,14
8:00,2,14
8:10,2,14
8:20,2,14
8:30,2,14
8:40,2,14
8:50,2,14
9:00,2,14
18:00,2,14
18:10,2,14
18:20,2,14
18:30,2,14
18:40,2,14
18:50,2,14
19:00,2,14
19:10,2,14
19:20,2,14
19:30,2,14
19:40,2,14
19:50,2,14
20:00,4,14
20:10,4,7
20:20,1,7
20:30,1,7
20:40,1,7
20:50,1,7
21:00,1,7
21:10,1,7
21:20,1,7
21:30,1,7
21:40,1,7
21:50,1,7
22:00,4,7
22:10,4,17
22:20,4,17
22:30,4,17
22:40,4,17
22:50,4,17
23:00,4,17
23:10,3,17
23:20,3,17
23:30,3,17
23:40,3,17
23:50,3,17
