ConditionTime,AiParameter1,AiParameter2
0:00,3,26
0:10,3,26
0:20,3,26
0:30,3,26
0:40,3,26
0:50,3,26
1:00,3,26
1:10,3,26
1:20,3,26
1:30,3,26
1:40,3,26
1:50,3,26
2:00,3,26
2:10,3,26
2:20,3,26
2:30,3,26
2:40,3,26
2:50,3,26
3:00,3,26
3:10,3,26
3:20,3,26
3:30,3,26
3:40,3,26
3:50,3,26
4:00,3,26
4:10,3,26
4:20,3,26
4:30,3,26
4:40,3,26
4:50,3,26
5:00,3,26
5:10,3,26
5:20,3,26
5:30,3,26
5:40,3,26
5:50,3,26
6:00,3,26
6:10,3,26
6:20,3,26
6:30,3,26
6:40,3,26
6:50,3,26
7:00,3,26
7:10,3,26
7:20,3,26
7:30,3,26
7:40,4,26
7:50,4,7
8:00,1,7
8:10,1,7
8:20,1,7
8:30,1,7
8:40,1,7
8:50,1,7
9:00,1,7
18:00,1,8
18:10,1,8
18:20,1,8
18:30,1,8
18:40,1,8
18:50,1,8
19:00,1,8
19:10,1,8
19:20,1,8
19:30,4,19
19:40,1,19
19:50,1,19
20:00,1,19
20:10,1,19
20:20,1,19
20:30,1,19
20:40,1,19
20:50,1,19
21:00,4,26
21:10,3,26
21:20,3,26
21:30,3,26
21:40,3,26
21:50,3,26
22:00,3,26
22:10,3,26
22:20,3,26
22:30,3,26
22:40,3,26
22:50,3,26
23:00,3,26
23:10,3,26
23:20,3,26
23:30,3,26
23:40,3,26
23:50,3,26
