ConditionTime,AiParameter1,AiParameter2
0:00,3,22
0:10,3,22
0:20,3,22
0:30,3,22
0:40,3,22
0:50,3,22
1:00,3,22
1:10,3,22
1:20,3,22
1:30,3,22
1:40,3,22
1:50,3,22
2:00,3,22
2:10,3,22
2:20,3,22
2:30,3,22
2:40,3,22
2:50,3,22
3:00,3,22
3:10,3,22
3:20,3,22
3:30,3,22
3:40,3,22
3:50,3,22
4:00,3,22
4:10,3,22
4:20,3,22
4:30,3,22
4:40,3,22
4:50,3,22
5:00,3,22
5:10,3,22
5:20,3,22
5:30,3,22
5:40,3,22
5:50,3,22
6:00,3,22
6:10,3,22
6:20,3,22
6:30,3,22
6:40,3,22
6:50,3,22
7:00,3,22
7:10,3,22
7:20,3,22
7:30,3,22
7:40,3,22
7:50,4,22
8:00,4,4
8:10,4,4
8:20,4,4
8:30,4,4
8:40,4,4
8:50,4,4
9:00,4,4
18:00,4,8
18:10,4,8
18:20,1,8
18:30,1,8
18:40,4,8
18:50,4,22
19:00,4,22
19:10,3,22
19:20,3,22
19:30,3,22
19:40,3,22
19:50,3,22
20:00,3,22
20:10,3,22
20:20,3,22
20:30,3,22
20:40,3,22
20:50,3,22
21:00,3,22
21:10,3,22
21:20,3,22
21:30,3,22
21:40,3,22
21:50,3,22
22:00,3,22
22:10,3,22
22:20,3,22
22:30,3,22
22:40,3,22
22:50,3,22
23:00,3,22
23:10,3,22
23:20,3,22
23:30,3,22
23:40,3,22
23:50,3,22
