ConditionTime,AiParameter1,AiParameter2
0:00,3,19
0:10,3,19
0:20,3,19
0:30,3,19
0:40,3,19
0:50,3,19
1:00,3,19
1:10,3,19
1:20,3,19
1:30,3,19
1:40,3,19
1:50,3,19
2:00,3,19
2:10,3,19
2:20,3,19
2:30,3,19
2:40,3,19
2:50,3,19
3:00,3,19
3:10,3,19
3:20,3,19
3:30,3,19
3:40,3,19
3:50,3,19
4:00,3,19
4:10,3,19
4:20,3,19
4:30,3,19
4:40,3,19
4:50,3,19
5:00,3,19
5:10,3,19
5:20,3,19
5:30,3,19
5:40,3,19
5:50,3,19
6:00,3,19
6:10,3,19
6:20,3,19
6:30,3,19
6:40,3,19
6:50,3,19
7:00,3,19
7:10,3,19
7:20,3,19
7:30,3,19
7:40,4,19
7:50,4,32
8:00,4,32
8:10,4,32
8:20,4,32
8:30,4,32
8:40,4,32
8:50,4,32
9:00,4,32
18:00,4,31
18:10,4,31
18:20,4,31
18:30,4,31
18:40,4,31
18:50,4,31
19:00,4,31
19:10,4,31
19:20,4,31
19:30,4,21
19:40,4,21
19:50,4,21
20:00,4,21
20:10,4,21
20:20,4,21
20:30,4,21
20:40,4,21
20:50,4,21
21:00,4,19
21:10,3,19
21:20,3,19
21:30,3,19
21:40,3,19
21:50,3,19
22:00,3,19
22:10,3,19
22:20,3,19
22:30,3,19
22:40,3,19
22:50,3,19
23:00,3,19
23:10,3,19
23:20,3,19
23:30,3,19
23:40,3,19
23:50,3,19
